lsoa_code,e_i,u_i,V_i,london_income_decile,mismatch_category
E01003037,2,0.0499951774673996,242.0,4,Saturated / potentially underprovided
E01003038,7,0.0103387345675705,484.0,10,Apparently adequate
E01003039,6,0.0322695794744941,532.0,10,Saturated / potentially underprovided
E01003040,4,0.0099826388886959,326.0,8,Apparently adequate
E01003041,1,0.040850694443287,217.0,4,Saturated / potentially underprovided
E01003042,1,0.0,194.99999999999997,5,Apparently adequate
E01003043,5,0.0368678240734953,369.0,7,Saturated / potentially underprovided
E01003044,1,0.0380540123441358,262.99999999999994,2,Saturated / potentially underprovided
E01003045,1,0.1277793209861111,347.0,2,Saturated / potentially underprovided
E01003046,3,0.0861893004095936,288.0,2,Saturated / potentially underprovided
E01003047,5,0.0415989969125,242.99999999999997,4,Saturated / potentially underprovided
E01003048,4,0.0392355324063464,299.0,2,Saturated / potentially underprovided
E01003049,3,0.0251057098752572,296.0,2,Saturated / potentially underprovided
E01003050,1,0.0388885030837191,273.0,6,Saturated / potentially underprovided
E01003051,7,0.0255278604493496,339.0,5,Saturated / potentially underprovided
E01003052,3,0.0514675925896347,368.0,3,Saturated / potentially underprovided
E01003053,6,0.0190486432608989,360.0,8,Saturated / potentially underprovided
E01003054,5,0.026898225308179,378.99999999999994,9,Saturated / potentially underprovided
E01003055,2,0.0106479552463348,295.0,5,Apparently adequate
E01003056,3,0.0536499485586419,324.0,7,Saturated / potentially underprovided
E01003057,2,0.1117334104897762,310.99999999999994,4,Saturated / potentially underprovided
E01003058,6,0.1026081854413258,378.0,7,Saturated / potentially underprovided
E01003059,2,0.0566554783942901,323.0,5,Saturated / potentially underprovided
E01003060,1,0.0944510030829475,232.0,2,Saturated / potentially underprovided
E01003061,2,0.0122391975308641,176.0,5,Apparently adequate
E01003062,8,0.018855951002797,475.99999999999994,5,Saturated / potentially underprovided
E01003063,1,0.0339135802445987,317.0,2,Saturated / potentially underprovided
E01003064,6,0.0351368312753343,474.0,8,Saturated / potentially underprovided
E01003065,4,0.0538766878851273,398.0,2,Saturated / potentially underprovided
E01003066,2,0.1015028935161072,488.0,3,Saturated / potentially underprovided
E01003067,10,0.0108517939810956,460.0,7,Apparently adequate
E01003068,2,0.0813535879610339,439.0,5,Saturated / potentially underprovided
E01003069,3,0.0012737911521347,414.0,4,Apparently adequate
E01003070,3,0.0623514660484825,394.00000000000006,2,Saturated / potentially underprovided
E01003071,7,0.0183523203259204,532.0,8,Saturated / potentially underprovided
E01003072,5,0.0097498842586033,513.0,9,Apparently adequate
E01003073,11,0.0195388432937184,358.0,3,Saturated / potentially underprovided
E01003074,5,0.0082524691351466,510.9999999999999,7,Apparently adequate
E01003075,3,0.012663708847608,272.99999999999994,1,Apparently adequate
E01003076,7,0.0506942790989858,456.0,7,Saturated / potentially underprovided
E01003077,9,0.0490456247137059,341.0,6,Saturated / potentially underprovided
E01003078,8,0.0164856770831163,478.0,9,Saturated / potentially underprovided
E01003079,3,0.0091715749311556,444.0,5,Apparently adequate
E01003080,5,0.0428145640424961,514.0,6,Saturated / potentially underprovided
E01003081,7,0.0304357087732583,425.00000000000006,4,Saturated / potentially underprovided
E01003082,3,0.0710288065821759,390.0,3,Saturated / potentially underprovided
E01003083,2,0.0451385030860339,486.0,8,Saturated / potentially underprovided
E01003084,4,0.0080153356479552,452.00000000000006,7,Apparently adequate
E01003085,8,0.0307780189037422,605.0,7,Saturated / potentially underprovided
E01003086,1,0.0511616512334104,447.0,2,Saturated / potentially underprovided
E01003087,0,,331.0,1,"Low-demand, no provision"
E01003088,3,0.0302118055551697,283.0,4,Saturated / potentially underprovided
E01003089,3,0.0233600180037937,297.0,4,Saturated / potentially underprovided
E01003090,3,0.0170138888883744,473.0,7,Saturated / potentially underprovided
E01003091,3,0.0389131944437371,313.0,5,Saturated / potentially underprovided
E01003092,6,0.056876800410751,370.99999999999994,4,Saturated / potentially underprovided
E01003093,1,0.0638908179000771,326.99999999999994,2,Saturated / potentially underprovided
E01003094,3,0.0690046296280864,278.0,6,Saturated / potentially underprovided
E01003095,5,0.0335033950609567,417.0,8,Saturated / potentially underprovided
E01003096,8,0.0285156732247299,359.0,8,Saturated / potentially underprovided
E01003097,4,0.0311375385795717,248.00000000000003,4,Saturated / potentially underprovided
E01003098,4,0.0161746720674189,312.0,6,Saturated / potentially underprovided
E01003099,1,0.0274934413568672,280.0,5,Saturated / potentially underprovided
E01003100,4,0.1125248842558834,284.99999999999994,9,Saturated / potentially underprovided
