lsoa_code,lsoa_name,e_i,S_eff_i,U_i,n_evse,n_active_evse,n_active_locations,has_evse_i
E01002274,Havering 014B,0,0.0,,0,0,0,False
E01002275,Havering 015D,0,0.0,,0,0,0,False
E01002276,Havering 001A,0,0.0,,0,0,0,False
E01002277,Havering 002A,0,0.0,,0,0,0,False
E01002278,Havering 001B,0,0.0,,0,0,0,False
E01002279,Havering 002B,0,0.0,,0,0,0,False
E01002280,Havering 004A,0,0.0,,0,0,0,False
E01002281,Havering 002C,0,0.0,,0,0,0,False
E01002282,Havering 004B,0,0.0,,0,0,0,False
E01002283,Havering 002D,1,0.04393132715239197,0.04393132715239197,1,1,1,True
E01002284,Havering 004C,0,0.0,,0,0,0,False
E01002285,Havering 025B,0,0.0,,0,0,0,False
E01002286,Havering 025C,0,0.0,,0,0,0,False
E01002287,Havering 023A,0,0.0,,0,0,0,False
E01002288,Havering 025D,0,0.0,,0,0,0,False
E01002289,Havering 022B,0,0.0,,0,0,0,False
E01002290,Havering 025E,0,0.0,,0,0,0,False
E01002291,Havering 023B,0,0.0,,0,0,0,False
E01002292,Havering 022C,0,0.0,,0,0,0,False
E01002294,Havering 007B,0,0.0,,0,0,0,False
E01002295,Havering 010C,0,0.0,,0,0,0,False
E01002296,Havering 007C,0,0.0,,0,0,0,False
E01002297,Havering 004D,0,0.0,,0,0,0,False
E01002298,Havering 007D,0,0.0,,0,0,0,False
E01002299,Havering 002E,0,0.0,,0,0,0,False
E01002300,Havering 007E,0,0.0,,0,0,0,False
E01002301,Havering 003A,0,0.0,,0,0,0,False
E01002302,Havering 005A,0,0.0,,0,0,0,False
E01002303,Havering 003B,0,0.0,,0,0,0,False
E01002304,Havering 003C,0,0.0,,0,0,0,False
E01002305,Havering 005B,0,0.0,,0,0,0,False
E01002306,Havering 003D,0,0.0,,0,0,0,False
E01002307,Havering 003E,0,0.0,,0,0,0,False
E01002308,Havering 005C,0,0.0,,0,0,0,False
