lsoa_code,lsoa_name,driving_age_pop,income_score,income_decile,D_A,D_B,D_C,D_D
E01000162,Barnet 015E,1345,0.22,5,166.78,170.44916,177.78748000000002,185.12580000000003
E01000163,Barnet 022C,1318,0.399,2,163.43200000000002,169.95293680000003,182.9948104,196.036684
E01000164,Barnet 022D,1316,0.429,2,163.184,170.1845936,184.1857808,198.18696799999998
E01000165,Barnet 022E,1439,0.279,4,178.436,183.4143644,193.37109320000002,203.327822
E01000166,Barnet 003A,1288,0.236,4,159.712,163.4812032,171.0196096,178.55801599999998
E01000167,Barnet 002A,1089,0.341,3,135.036,139.6407276,148.8501828,158.059638
E01000168,Barnet 003B,1259,0.092,9,156.116,157.55226720000002,160.42480160000002,163.29733600000003
E01000169,Barnet 003C,1304,0.172,6,161.69600000000003,164.47717120000004,170.03951360000005,175.60185600000005
E01000170,Barnet 006A,1472,0.256,4,182.52800000000002,187.20071680000004,196.54615040000002,205.89158400000005
E01000171,Barnet 006B,1712,0.437,2,212.288,221.56498560000003,240.1189568,258.672928
E01000172,Barnet 003D,1307,0.111,8,162.068,163.86695480000003,167.46486440000004,171.06277400000002
E01000173,Barnet 006C,1286,0.163,6,159.46400000000003,162.06326320000002,167.26178960000001,172.460316
E01000174,Barnet 006D,1372,0.303,3,170.12800000000001,175.28287840000002,185.59263520000002,195.90239200000002
E01000175,Barnet 006E,1517,0.11,8,188.108,190.17718799999997,194.315564,198.45394
E01000176,Barnet 027A,1439,0.357,3,178.436,184.8061652,197.54649560000001,210.28682600000002
E01000177,Barnet 029A,1273,0.138,7,157.852,160.0303576,164.38707280000003,168.743788
E01000178,Barnet 027B,1291,0.167,6,160.084,162.7574028,168.1042084,173.451014
E01000179,Barnet 029B,1395,0.162,6,172.98000000000002,175.78227600000002,181.386828,186.99138000000002
E01000180,Barnet 029C,1294,0.343,3,160.45600000000002,165.95964080000002,176.96692240000002,187.97420400000001
E01000181,Barnet 029D,1390,0.084,9,172.36,173.807824,176.703472,179.59912000000003
E01000182,Barnet 029E,1341,0.082,9,166.284,167.6475288,170.3745864,173.101644
E01000183,Barnet 033A,1188,0.127,7,147.31199999999998,149.18286239999998,152.9245872,156.66631199999998
E01000184,Barnet 027C,1488,0.38,2,184.512,191.523456,205.54636799999997,219.56928
E01000185,Barnet 029F,1212,0.447,2,150.28799999999998,157.00587359999997,170.4416208,183.877368
E01000186,Barnet 014A,1298,0.131,7,160.952,163.06047120000002,167.2774136,171.494356
