location_id,zapmap_device_uid,power_band,device_max_power
I2LDZQW,PT8XDBH,1. Slow,3450
GHXMQM9,VXTACLY,1. Slow,3450
Z3AINMV,7EQJWKX,1. Slow,3450
SF4N7R4,0CTM6TA,1. Slow,3450
YWHRGHD,6FCFEL8,1. Slow,3450
JUCFQQZ,6XA0ZIW,1. Slow,3450
Q95VYYW,4M55ZBC,1. Slow,3450
BJTNFVF,M5KSN8T,1. Slow,3450
2KVXGSG,LAJM82F,1. Slow,3450
TMUNDZJ,XVU2AVH,1. Slow,3450
EW6EWO5,U10YZED,1. Slow,3450
GYQRCFZ,IOGE63K,1. Slow,3450
6OLVWGA,MJNID3B,1. Slow,3450
CKOXQO1,KPBAVPX,1. Slow,3450
JQUBLKX,ZEK1MMW,1. Slow,3450
6BSXJ6E,OKDJ65Z,1. Slow,3450
SUHPAZD,WYN1GYM,1. Slow,3450
XLXMT44,OPU5ZTX,1. Slow,3450
Z2KOLXZ,QRRMDHH,1. Slow,3450
ZUOGESN,KDH4NRA,1. Slow,3450
IT5UAF2,6XOUH5M,1. Slow,3450
3UAQ027,ZUT7AGB,1. Slow,3450
EE4CZBI,V3OMFJI,1. Slow,3450
D8FHEOP,RWLU9NT,1. Slow,3450
MUUJBPU,WEDMVAJ,1. Slow,3450
JKSGQF6,6NCMOAO,1. Slow,3450
QTM3EM4,RSUV2ZN,1. Slow,3450
SUKWZYX,XLLLMCL,1. Slow,3450
XENUZ6S,SDLYWHC,1. Slow,3450
BCAJCUK,9F4I2UR,1. Slow,3450
JTVXLP2,JZZLALU,1. Slow,3450
NGRGILC,0EPYRKE,1. Slow,3450
P3H8YQM,N6I8HUM,1. Slow,3450
38QQHPD,WSJVS2X,1. Slow,3450
S8E8C5K,4ANFFKS,1. Slow,3450
PFBYQDQ,ZW2A9LW,1. Slow,3450
EO9OOJJ,QKYZEAM,1. Slow,3450
0QCKMKB,GN6VFLT,1. Slow,3450
LBWNOYP,LU7O2KQ,1. Slow,3450
KJ5FN5Q,WMZHFHH,1. Slow,3450
FSFMLSY,HQDPEOE,1. Slow,3450
605WUVS,UGJ3KLY,1. Slow,3450
BBO4ORI,UEUG2XX,1. Slow,3450
QVUNYP3,BEU65GK,1. Slow,3450
YMJFIGS,ULPW4SG,1. Slow,3450
EZXFDSX,K4SX1FG,1. Slow,3450
E9MVY6F,PRG0NUK,1. Slow,3450
50VEA3M,QPXSQLJ,1. Slow,3450
G0HGPBU,4P1QZJ2,1. Slow,3450
GPQB0OF,W60LPPP,1. Slow,3450
MJ5T4EV,UTSGBS8,1. Slow,3450
KHT8GYP,2ZSPTH7,1. Slow,3450
ITHGB0X,7BEDG4R,1. Slow,3450
3LICDGS,BFALKQM,1. Slow,3450
YR52SBN,9TTATHE,1. Slow,3450
XXMKLMM,XKJQUPZ,1. Slow,3450
WNUHZI0,QBPXYE0,1. Slow,3450
WXVA4QY,EFT8VKC,1. Slow,3450
WTYA0XJ,WWIE6CH,1. Slow,3450
F04OINZ,J3GNTTP,1. Slow,3450
U1OYHDF,RI5S76G,1. Slow,3450
QHSQHHX,PQI3J7A,1. Slow,3450
TIE2YMH,QP1KVX4,1. Slow,3450
8X13SFN,6MS5BH4,1. Slow,3450
B8SCKEO,SXDSA1O,1. Slow,3450
SJHCZCT,JRYO3NZ,1. Slow,3450
Z0TFKAV,A0EBZ8X,1. Slow,3450
LXWHWX9,NO6CPNK,1. Slow,3450
SVDERY3,RGR8IFS,1. Slow,3450
F107ZI5,8QIKBMK,1. Slow,3450
MZUBBA3,O7LBJGI,1. Slow,3450
WJRU6ZJ,JIXOC6Y,1. Slow,3450
9DAJHH5,B20BFK6,1. Slow,3450
AHSQ6UG,TCTBZ7T,1. Slow,3450
SJBKHH4,9LOPGQ1,1. Slow,3450
VQOTACG,FTYGHIA,1. Slow,3450
I9GGXO9,XBNNCQS,1. Slow,3450
FOJUVGZ,QD57TUB,1. Slow,3450
W9KWRSA,VM98ZIE,1. Slow,3450
NCGGBVP,YNWQCKB,1. Slow,3450
1GOJK33,35SPKB7,1. Slow,3450
MVEKHSU,G7L4G5Y,1. Slow,3450
PGIWSD2,N53EUOT,1. Slow,3450
OP336S4,VHNNDJT,1. Slow,3450
3LBOVGG,0GJAOBG,1. Slow,3450
HG1VA3X,5HR3KMD,1. Slow,3450
XS5AY0K,BGPPUPR,1. Slow,3450
