lsoa_code,xj_A_p2000,sj_A_p2000,xj_B_p2000,sj_B_p2000,xj_C_p2000,sj_C_p2000,xj_D_p2000,sj_D_p2000,xj_A_p5000,sj_A_p5000,xj_B_p5000,sj_B_p5000,xj_C_p5000,sj_C_p5000,xj_D_p5000,sj_D_p5000,xj_A_p8000,sj_A_p8000,xj_B_p8000,sj_B_p8000,xj_C_p8000,sj_C_p8000,xj_D_p8000,sj_D_p8000
E01000110,6,1.0330131,6,2.9539403,6,6.7957949,6,10.637649,6,1.0330131,6,2.9539403,6,6.7957949,6,10.637649,6,1.0330131,6,2.9539403,6,6.7957949,6,10.637649
E01000111,0,71.78252,5,8.7988242,6,1.3398686,6,7.0485169,5,5.9445001,5,8.7988242,6,1.3398686,6,7.0485169,5,5.9445001,5,8.7988242,6,1.3398686,6,7.0485169
E01000112,6,3.0434027,0,84.453062,0,89.261135,7,1.8959811,6,3.0434027,6,5.4474391,6,10.255512,7,1.8959811,6,3.0434027,6,5.4474391,6,10.255512,7,1.8959811
E01000113,0,41.28578,0,44.000277,0,49.42927,0,54.858264,3,1.7829687,3,4.4974653,3,9.9264587,4,2.1878482,3,1.7829687,3,4.4974653,3,9.9264587,4,2.1878482
E01000114,0,102.65552,8,1.1642704,8,8.8634343,9,3.3949944,7,10.482292,8,1.1642704,8,8.8634343,9,3.3949944,7,10.482292,8,1.1642704,8,8.8634343,9,3.3949944
E01000115,0,93.860065,0,94.451383,0,95.63402,0,96.816657,7,1.6868377,7,2.2781561,7,3.460793,0,96.816657,7,1.6868377,7,2.2781561,7,3.460793,7,4.6434298
E01000116,0,31.080201,0,32.533334,0,35.4396,0,38.345866,2,4.7449937,2,6.1981266,0,35.4396,0,38.345866,2,4.7449937,0,32.533334,2,9.1043924,2,12.010658
E01000117,0,61.302594,0,62.864024,0,65.986884,0,69.109745,0,61.302594,4,10.193608,0,65.986884,0,69.109745,4,8.632178,0,62.864024,0,65.986884,5,3.2717253
E01000118,0,107.95837,0,109.88427,0,113.73608,0,117.58789,8,2.6175391,8,4.543442,8,8.395248,8,12.247054,8,2.6175391,8,4.543442,8,8.395248,8,12.247054
E01000119,0,92.664925,0,94.040748,0,96.792394,0,99.544039,7,0.49169772,0,94.040748,0,96.792394,0,99.544039,7,0.49169772,7,1.8675206,7,4.6191663,7,7.3708121
E01000120,0,66.386884,0,67.508821,0,69.752696,0,71.99657,5,0.54886437,0,67.508821,0,69.752696,0,71.99657,5,0.54886437,5,1.6708017,5,3.9146763,0,71.99657
E01000121,0,70.740584,0,73.110394,0,77.850013,0,82.589632,5,4.902565,0,73.110394,5,12.011994,6,3.584009,5,4.902565,5,7.2723746,5,12.011994,6,3.584009
E01000122,0,76.91528,0,78.158424,0,80.644712,0,83.130999,5,11.077261,0,78.158424,0,80.644712,0,83.130999,5,11.077261,5,12.320405,6,1.6390883,0,83.130999
E01000123,0,74.460365,0,76.708107,0,81.203589,0,85.699072,0,74.460365,0,76.708107,6,2.1979659,0,85.699072,0,74.460365,0,76.708107,0,81.203589,6,6.6934485
E01000124,0,23.891878,0,26.288278,0,31.081078,0,35.873878,0,23.891878,0,26.288278,0,31.081078,0,35.873878,0,23.891878,0,26.288278,0,31.081078,2,9.5386697
E01000126,0,61.546795,0,65.457544,0,73.279043,0,81.100541,0,61.546795,0,65.457544,0,73.279043,0,81.100541,0,61.546795,0,65.457544,5,7.4410232,0,81.100541
E01000127,0,58.929545,0,61.327978,0,66.124843,0,70.921708,0,58.929545,0,61.327978,0,66.124843,0,70.921708,0,58.929545,0,61.327978,0,66.124843,5,5.0836885
E01000128,0,85.944156,0,89.330356,0,96.102755,0,102.87515,0,85.944156,0,89.330356,0,96.102755,0,102.87515,6,6.9385325,0,89.330356,7,3.9295279,0,102.87515
E01000129,0,48.249351,0,50.903065,0,56.210494,0,61.517922,0,48.249351,0,50.903065,0,56.210494,0,61.517922,0,48.249351,0,50.903065,0,56.210494,0,61.517922
E01000130,0,81.043831,0,83.621025,0,88.775413,0,93.9298,0,81.043831,0,83.621025,0,88.775413,0,93.9298,6,2.0382079,6,4.6154017,6,9.7697894,7,1.7565731
E01000131,0,57.515095,0,60.386825,0,66.130285,0,71.873745,0,57.515095,0,60.386825,0,66.130285,0,71.873745,0,57.515095,0,60.386825,0,66.130285,0,71.873745
E01000132,0,65.337662,0,68.094912,0,73.60941,0,79.123909,0,65.337662,0,68.094912,0,73.60941,0,79.123909,4,12.667247,5,2.2568923,5,7.771391,6,0.11828578
